url,name,categories,start_date,end_date,starting_price,venue_name,venue_address
https://www.londontheatre.co.uk/show/29263-stranger-things-the-first-shadow                          ,Stranger Things: The First Shadow Tickets                             ,'Plays',"17th November, 2023  ",                       ,               ,Phoenix Theatre                         ,"110 Charing Cross Rd, London, United Kingdom, WC2H 0JP"
https://www.londontheatre.co.uk/show/29263-stranger-things-the-first-shadow                          ,Stranger Things: The First Shadow Tickets                             ,'Boxing Day',"17th November, 2023  ",                       ,               ,Phoenix Theatre                         ,"110 Charing Cross Rd, London, United Kingdom, WC2H 0JP"
https://www.londontheatre.co.uk/show/29263-stranger-things-the-first-shadow                          ,Stranger Things: The First Shadow Tickets                             ,'Drama',"17th November, 2023  ",                       ,               ,Phoenix Theatre                         ,"110 Charing Cross Rd, London, United Kingdom, WC2H 0JP"
https://www.londontheatre.co.uk/show/29263-stranger-things-the-first-shadow                          ,Stranger Things: The First Shadow Tickets                             ,'West End',"17th November, 2023  ",                       ,               ,Phoenix Theatre                         ,"110 Charing Cross Rd, London, United Kingdom, WC2H 0JP"
https://www.londontheatre.co.uk/show/29263-stranger-things-the-first-shadow                          ,Stranger Things: The First Shadow Tickets                             ,'Sci Fi / Fantasy',"17th November, 2023  ",                       ,               ,Phoenix Theatre                         ,"110 Charing Cross Rd, London, United Kingdom, WC2H 0JP"
https://www.londontheatre.co.uk/show/39250-fawlty-towers-the-play                                    ,Fawlty Towers – The Play Tickets                                      ,'Plays',"4th May, 2024        ","1st March, 2025      ",               ,Apollo Theatre                          ,"31 Shaftesbury Avenue, London, United Kingdom, W1D 7EZ"
https://www.londontheatre.co.uk/show/39250-fawlty-towers-the-play                                    ,Fawlty Towers – The Play Tickets                                      ,'Boxing Day',"4th May, 2024        ","1st March, 2025      ",               ,Apollo Theatre                          ,"31 Shaftesbury Avenue, London, United Kingdom, W1D 7EZ"
https://www.londontheatre.co.uk/show/39250-fawlty-towers-the-play                                    ,Fawlty Towers – The Play Tickets                                      ,'Comedy',"4th May, 2024        ","1st March, 2025      ",               ,Apollo Theatre                          ,"31 Shaftesbury Avenue, London, United Kingdom, W1D 7EZ"
https://www.londontheatre.co.uk/show/39250-fawlty-towers-the-play                                    ,Fawlty Towers – The Play Tickets                                      ,'Classic',"4th May, 2024        ","1st March, 2025      ",               ,Apollo Theatre                          ,"31 Shaftesbury Avenue, London, United Kingdom, W1D 7EZ"
https://www.londontheatre.co.uk/show/39250-fawlty-towers-the-play                                    ,Fawlty Towers – The Play Tickets                                      ,'West End',"4th May, 2024        ","1st March, 2025      ",               ,Apollo Theatre                          ,"31 Shaftesbury Avenue, London, United Kingdom, W1D 7EZ"
https://www.londontheatre.co.uk/show/35503-mean-girls                                                ,Mean Girls Tickets                                                    ,'Musicals',"5th June, 2024       ","8th June, 2025       ",               ,Savoy Theatre                           ,"Strand, London, United Kingdom, WC2R 0ET"
https://www.londontheatre.co.uk/show/35503-mean-girls                                                ,Mean Girls Tickets                                                    ,'Boxing Day',"5th June, 2024       ","8th June, 2025       ",               ,Savoy Theatre                           ,"Strand, London, United Kingdom, WC2R 0ET"
https://www.londontheatre.co.uk/show/35503-mean-girls                                                ,Mean Girls Tickets                                                    ,'Comedy',"5th June, 2024       ","8th June, 2025       ",               ,Savoy Theatre                           ,"Strand, London, United Kingdom, WC2R 0ET"
